Timestamp,What school are you associated with?,What grade are you in?,What is your gender?,What is your race or ethnicity? Check all that apply.,Are you part of any other minority group?,What is your political affiliation?,Do your parents generally share this affiliation?,Do you favor or oppose laws allowing transgender people to choose a bathroom based on their gender identity?,Do you favor greater or looser restrictions on the process of purchasing a gun?,Do you favor or oppose decreasing military spending in the national budget in favor of other government programs?,Do you favor or oppose testing welfare recipients for drug use before distributing benefits?,Do you favor or oppose requiring the use of body cameras on police officers?,Do you favor or oppose increased environmental regulations on businesses and corporations?,Are you Pro-Life or Pro-Choice on the issue of abortion legislation?,"Should the government increase or decrease funding for social welfare programs (food stamps, medicare, social security, etc.)?",Do you favor or oppose increasing restrictions on immigration into the US?,Should the federal government set a national minimum wage or should state governments set the minimum wage based on their own needs?,Do you support the movement Black Lives Matter? ,Do you favor or oppose deploying more American ground troops to fight ISIS in the Middle East?,"Given that our European allies don't pay NATO proportionally, should we fulfill our promise to support them in military conflicts?","Do you favor or oppose hydraulic fracturing or ""fracking"" as a means of increasing the production of natural gas and oil in the U.S.?",Do you favor or oppose the government prohibiting recreational marijuana?,Do you agree or disagree that men and women should have equal financial compensation in the workplace and equal obligation of citizenship such as signing up for the military draft?,Which presidential candidate do you support?,Which senatorial candidate do you support?,Comments?
2016/10/17 3:49:35 PM EST,Columbus School for Girls,12,Other,Caucasian,LGBT+,Democratic Party,Yes,1,2,2,2,1,1,2,1,2,2,2,2,2,2,3,1,Hillary Clinton,Ted Strickland,
2016/10/17 3:59:32 PM EST,Columbus School for Girls,12,Female,Caucasian,No,Democratic Party,No,1,1,2,4,2,1,1,1,2,1,1,2,4,1,2,1,Hillary Clinton,Ted Strickland,
2016/10/17 4:02:15 PM EST,Columbus School for Girls,12,Female,Caucasian,No,No Party Affiliation,Yes,4,1,2,4,1,3,5,2,2,4,2,3,2,3,4,1,Hillary Clinton,Ted Strickland,
2016/10/17 4:05:56 PM EST,Columbus School for Girls,9,Female,Caucasian,,No Party Affiliation,One does and the other one doesn't,3,1,4,5,1,1,2,4,2,4,2,3,3,3,1,2,Hillary Clinton,,
2016/10/17 4:11:19 PM EST,Columbus School for Girls,9,Female,Asian,LGBT+,Democratic Party,Yes,1,2,4,2,1,2,1,1,2,5,1,3,3,2,2,1,Hillary Clinton,No opinion,
2016/10/17 4:27:25 PM EST,Columbus School for Girls,11,Female,Caucasian,LGBT+,Democratic Party,No,1,1,2,2,1,1,1,1,1,3,1,1,1,2,2,1,Hillary Clinton,No opinion,
2016/10/17 5:21:22 PM EST,Columbus School for Girls,9,Female,Caucasian,No,Democratic Party,Yes,1,1,2,3,1,1,1,1,3,3,1,3,3,1,2,1,Hillary Clinton,No opinion,
2016/10/17 5:21:50 PM EST,Columbus School for Girls,Faculty,Prefer not to answer,Caucasian;Native American;Other,Christian,Republican Party,Yes,5,2,5,5,2,5,5,4,5,5,5,5,2,5,5,1,Donald Trump,Rob Portman,
2016/10/17 5:22:02 PM EST,Columbus School for Girls,10,Female,African-American;Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,1,3,1,1,1,3,2,3,1,1,2,3,2,1,No opinion,No opinion,
2016/10/17 5:49:09 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,LGBT+,Democratic Party,One does and the other one doesn't,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 5:50:05 PM EST,Columbus School for Girls,10,Female,Caucasian,No,Republican Party,Yes,2,1,3,4,2,2,3,3,3,4,2,2,3,4,5,1,Hillary Clinton,No opinion,
2016/10/17 6:03:07 PM EST,Columbus School for Girls,9,Female,Indian,No,Democratic Party,One does and the other one doesn't,1,1,3,3,2,1,1,3,4,2,1,3,3,2,4,1,Hillary Clinton,Ted Strickland,
2016/10/17 6:39:46 PM EST,Columbus School for Girls,10,Female,Caucasian,No,Republican Party,I don't know,3,1,4,5,4,4,1,3,3,5,3,3,3,3,1,1,No opinion,Rob Portman,
2016/10/17 7:03:30 PM EST,Columbus School for Girls,10,Female,African-American,No,Democratic Party,Yes,1,1,3,3,1,3,5,1,3,5,1,1,2,3,3,1,No opinion,Ted Strickland,
2016/10/17 8:08:39 PM EST,Columbus School for Girls,11,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,3,4,1,1,1,2,3,2,1,3,3,3,4,1,Hillary Clinton,Ted Strickland,
2016/10/18 6:50:20 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,Yes,3,1,1,3,3,1,1,2,1,4,3,2,3,1,3,1,Hillary Clinton,Ted Strickland,
2016/10/18 7:12:54 AM EST,Columbus School for Girls,11,Female,Caucasian,No,Republican Party,Yes,3,5,3,5,1,4,5,5,5,5,5,4,4,3,4,2,Donald Trump,Rob Portman,
2016/10/18 7:15:27 AM EST,Columbus School for Girls,11,Female,Caucasian,No,No Party Affiliation,No,5,3,3,4,3,2,4,2,2,5,2,4,3,2,5,1,Hillary Clinton,No opinion,
2016/10/18 7:21:35 AM EST,Columbus School for Girls,11,Other,Caucasian,LGBT+,Libertarian Party,One does and the other one doesn't,1,3,4,4,4,5,1,2,1,5,1,1,1,1,5,1,No opinion,No opinion,
2016/10/18 7:33:52 AM EST,Columbus School for Girls,12,Female,African-American,,Libertarian Party,Yes,1,1,3,5,1,2,1,4,4,5,1,3,4,5,2,1,Hillary Clinton,Ted Strickland,
2016/10/18 7:36:33 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,1,3,1,1,1,1,2,2,2,3,3,2,2,1,Hillary Clinton,Ted Strickland,
2016/10/18 7:43:17 AM EST,Columbus School for Girls,11,Female,Indian,No,No Party Affiliation,One does and the other one doesn't,1,1,3,5,1,2,1,3,2,4,1,1,3,1,2,1,Hillary Clinton,Ted Strickland,
2016/10/18 7:43:42 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,3,1,2,1,1,1,2,2,1,3,2,1,2,1,Hillary Clinton,Ted Strickland,
2016/10/18 7:55:58 AM EST,Columbus School for Girls,10,Female,Caucasian,No,Democratic Party,Yes,1,1,3,3,3,2,1,2,4,3,1,3,2,,3,1,Hillary Clinton,No opinion,
2016/10/18 8:10:07 AM EST,Columbus School for Girls,12,Female,Caucasian,No,Republican Party,I don't know,5,4,4,3,5,3,5,1,4,4,3,2,3,3,5,1,No opinion,No opinion,
2016/10/18 8:16:42 AM EST,Columbus School for Girls,12,Female,African-American,No,Democratic Party,Yes,2,1,5,3,1,1,3,2,2,3,1,4,4,3,5,1,Hillary Clinton,No opinion,
2016/10/18 9:14:42 AM EST,Columbus School for Girls,Faculty,Female,Asian,No,Democratic Party,No,1,1,3,2,3,1,1,1,2,1,2,3,4,1,1,1,Hillary Clinton,Ted Strickland,
2016/10/18 10:32:57 AM EST,Columbus School for Girls,12,Female,Asian;Caucasian,No,Democratic Party,Yes,1,1,3,2,1,1,1,1,2,3,1,2,1,1,1,1,Hillary Clinton,Ted Strickland,
2016/10/18 10:48:45 AM EST,Columbus School for Girls,11,Female,Caucasian,No,Democratic Party,Yes,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,Hillary Clinton,Ted Strickland,
2016/10/18 12:14:22 PM EST,Columbus School for Girls,11,Female,African-American;Caucasian,LGBT+,Democratic Party,Yes,1,2,1,3,1,1,2,2,2,2,1,3,3,4,1,1,Hillary Clinton,No opinion,
2016/10/18 12:50:54 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,2,3,1,1,1,2,2,3,1,3,1,2,2,1,Hillary Clinton,No opinion,
2016/10/18 1:58:44 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,No Party Affiliation,No,2,1,2,4,1,2,5,3,4,1,2,2,4,3,5,1,No opinion,,
2016/10/18 2:05:50 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian;Indian,No,Democratic Party,Yes,1,1,2,2,2,1,1,2,2,2,1,3,2,1,2,1,Hillary Clinton,Ted Strickland,
2016/10/18 2:15:50 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,Yes,5,2,2,2,2,1,1,2,3,2,1,3,3,1,1,2,Hillary Clinton,Ted Strickland,
2016/10/18 2:15:51 PM EST,Bexley High School,Parents,Male,Caucasian,Jewish,No Party Affiliation,No,1,2,3,4,2,2,1,3,3,2,3,4,2,2,1,1,"Do not support any, will vote for Hillary as the other choices are worse",Rob Portman,
2016/10/18 2:21:23 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,No,1,1,3,1,2,1,1,1,1,2,1,3,1,1,3,1,Hillary Clinton,Ted Strickland,
2016/10/18 2:29:37 PM EST,Columbus School for Girls,Faculty,Male,Caucasian,No,Democratic Party,No,3,2,2,2,1,1,2,2,2,2,2,4,2,1,1,1,Hillary Clinton,Ted Strickland,
2016/10/18 2:34:55 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,No,1,2,,,,1,1,2,2,4,1,2,2,1,3,3,Hillary Clinton,Ted Strickland,
2016/10/18 2:35:44 PM EST,Columbus School for Girls,Alumnae,Female,Asian;Caucasian,No,No Party Affiliation,One does and the other one doesn't,1,1,2,2,1,2,1,3,4,4,3,2,4,1,1,1,Hillary Clinton,Ted Strickland,
2016/10/18 3:02:43 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Republican Party,Yes,2,2,1,2,1,5,3,2,3,4,4,2,1,5,5,1,Jill Stein,Rob Portman,
2016/10/18 3:16:36 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Republican Party,Yes,5,3,3,3,3,3,5,3,4,3,3,3,3,3,3,4,Donald Trump,Rob Portman,
2016/10/18 4:13:07 PM EST,Columbus School for Girls,Alumnae,Female,African-American,No,Democratic Party,Yes,1,2,2,3,1,3,1,2,2,4,2,3,3,3,3,1,Hillary Clinton,No opinion,
2016/10/18 4:46:24 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,Yes,1,1,1,2,1,1,1,1,2,1,2,3,2,1,3,3,Hillary Clinton,Ted Strickland,I think the third to last question should be two seperate questions. Whether women shod be paid for the same work as men is a seperate issue from the military draft. 
2016/10/18 5:10:58 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,,Yes,1,1,3,2,2,2,5,1,1,4,3,3,1,2,2,1,Hillary Clinton,Ted Strickland,"No poll from CSG should ever reference ""alumni"". "
2016/10/18 5:20:12 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,Yes,1,1,5,1,1,2,1,1,1,1,1,2,3,4,2,1,Hillary Clinton,Ted Strickland,
2016/10/18 5:30:12 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,No Party Affiliation,No,1,1,3,5,1,2,1,3,3,4,2,4,3,3,3,1,Hillary Clinton,No opinion,
2016/10/18 6:44:13 PM EST,Columbus School for Girls,10,Female,Caucasian,No,Democratic Party,Yes,1,1,3,3,1,2,1,2,3,4,2,4,3,2,2,1,Hillary Clinton,No opinion,
2016/10/18 7:10:37 PM EST,Columbus School for Girls,Alumnae,Female,Indian,No,No Party Affiliation,One does and the other one doesn't,2,1,3,5,2,1,1,2,2,5,2,2,2,1,3,1,Hillary Clinton,Ted Strickland,
2016/10/18 7:11:29 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,Yes,1,1,2,2,1,1,1,2,2,3,1,2,2,1,2,1,Hillary Clinton,No opinion,
2016/10/18 7:29:55 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,,Democratic Party,Yes,1,1,3,4,2,2,1,2,2,4,2,4,1,3,2,1,Hillary Clinton,Ted Strickland,
2016/10/18 7:51:13 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Republican Party,One does and the other one doesn't,4,3,5,5,1,4,5,5,1,5,4,4,2,3,4,1,Hillary Clinton,No opinion,Love seeing this poll back in action. 
2016/10/18 7:54:24 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Republican Party,Yes,4,1,5,5,3,4,1,3,3,5,1,1,1,5,2,3,Gary Johnson,No opinion,Do you agree or disagree that men and women should have equal financial compensation in the workplace and equal obligation of citizenship such as signing up for the military draft? This question is double barreled. Two questions in one...
2016/10/18 7:56:26 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,LGBT+,Democratic Party,Yes,1,1,2,4,2,1,1,2,4,5,2,2,2,2,5,1,Hillary Clinton,Ted Strickland,
2016/10/18 8:04:35 PM EST,Columbus School for Girls,Alumnae,Female,Indian,No,Democratic Party,Yes,1,1,1,1,1,1,5,1,1,5,1,1,1,3,3,1,Hillary Clinton,No opinion,
2016/10/18 8:16:32 PM EST,Columbus School for Girls,Alumnae,Female,Asian;Caucasian,LGBT+,Democratic Party,Yes,,1,2,2,1,1,1,2,1,4,1,2,2,1,1,1,Hillary Clinton,No opinion,
2016/10/18 9:00:26 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,No,1,1,3,3,1,1,1,3,2,1,1,1,3,1,3,1,Donald Trump,Ted Strickland,
2016/10/18 9:41:48 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,Yes,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,Hillary Clinton,Ted Strickland,
2016/10/19 6:42:45 AM EST,Columbus School for Girls,Faculty,Male,Caucasian,No,Republican Party,Yes,5,3,4,2,2,3,5,3,5,5,4,5,3,2,5,1,Donald Trump,I have not done my full research here yet.,
2016/10/19 10:35:11 AM EST,Worthington Christian,Faculty,Female,Caucasian,No,Tea Party,Yes,5,4,5,5,1,4,5,5,5,5,4,3,2,5,3,3,Donald Trump,Rob Portman,
2016/10/19 11:52:20 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,,1,1,2,3,2,1,1,1,2,1,1,2,3,1,2,1,Hillary Clinton,Ted Strickland,
2016/10/19 12:22:17 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,Yes,2,1,3,1,1,1,1,1,1,2,1,2,1,2,3,2,Hillary Clinton,Ted Strickland,Thank you for your work on this poll.  I look forward to seeing the results. 
2016/10/19 2:29:36 PM EST,Worthington Christian,Faculty,Male,Caucasian,No,Republican Party,Yes,4,2,4,3,2,2,5,3,4,5,2,4,2,2,1,2,No opinion,Rob Portman,
2016/10/19 4:32:21 PM EST,Columbus School for Girls,10,Female,Caucasian,No,Republican Party,Yes,5,4,4,5,3,3,1,4,4,5,3,3,3,3,5,3,Donald Trump,No opinion,
2016/10/19 5:46:31 PM EST,Columbus School for Girls,11,Female,Caucasian,No,Libertarian Party,Yes,3,1,2,2,3,3,1,3,2,4,1,2,3,2,5,1,Gary Johnson,Ted Strickland,
2016/10/19 5:53:47 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Republican Party,One does and the other one doesn't,2,1,3,5,1,3,1,2,4,1,1,4,2,4,5,2,Hillary Clinton,Rob Portman,
2016/10/20 7:57:00 AM EST,Columbus School for Girls,11,Female,Caucasian,No,Republican Party,Yes,5,1,4,5,4,5,5,5,4,4,5,5,5,3,5,2,Donald Trump,Ted Strickland,
2016/10/20 8:01:34 AM EST,Columbus School for Girls,11,Female,Caucasian,No,Republican Party,One does and the other one doesn't,3,1,3,4,2,2,5,3,3,2,1,2,3,2,1,1,Hillary Clinton,Ted Strickland,
2016/10/20 8:21:16 AM EST,Columbus School for Girls,Alumnae,Prefer not to answer,Caucasian,LGBT+,Democratic Party,No,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,Hillary Clinton,Ted Strickland,
2016/10/20 8:23:28 AM EST,Columbus School for Girls,Parents,Male,Caucasian,No,No Party Affiliation,Yes,2,2,3,4,2,2,1,4,2,5,4,2,4,3,1,2,Gary Johnson,Rob Portman,
2016/10/20 8:31:26 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,No Party Affiliation,Yes,2,2,3,3,3,2,1,3,4,3,3,2,4,3,2,1,Gary Johnson,Rob Portman,
2016/10/20 9:09:37 AM EST,Upper Arlington,Parents,Female,Caucasian,No,No Party Affiliation,One does and the other one doesn't,3,2,3,5,3,4,1,4,5,5,4,3,4,3,2,1,Donald Trump,Rob Portman,
2016/10/20 9:57:48 AM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Republican Party,Yes,2,2,2,3,2,4,5,2,2,4,5,4,3,3,2,1,Hillary Clinton,No opinion,
2016/10/20 10:09:47 AM EST,Worthington Christian,11,Male,Caucasian,No,Republican Party,Yes,5,,,5,,,,,,,,,,,,5,Donald Trump,Rob Portman,
2016/10/20 10:09:49 AM EST,Worthington Christian,12,Female,Caucasian,No,Republican Party,Yes,5,3,5,5,2,3,3,3,4,5,3,4,3,3,5,2,No opinion,Pat Tiberi,
2016/10/20 10:10:02 AM EST,Worthington Christian,11,Female,Caucasian;Native American,mental illness,Democratic Party,No,3,2,3,3,1,2,2,2,3,2,1,3,3,3,3,1,Bernie,No opinion,
2016/10/20 10:10:28 AM EST,Worthington Christian,9,Female,Caucasian,No,Republican Party,Yes,,,,,,,,,,,,,,,,,Me,Me,
2016/10/20 10:10:59 AM EST,Worthington Christian,10,Male,Asian,No,No Party Affiliation,No,4,1,3,,2,3,5,2,3,2,3,3,3,3,4,3,Hillary Clinton,No opinion,
2016/10/20 10:11:05 AM EST,Worthington Christian,11,Male,Caucasian,No,Republican Party,Yes,4,4,3,4,1,2,3,3,1,3,1,3,3,3,3,3,Donald Trump,Rob Portman,
2016/10/20 10:11:58 AM EST,Worthington Christian,9,Female,Other,No,Democratic Party,No,5,3,3,3,1,2,5,5,2,5,1,4,3,3,5,1,No opinion,No opinion,
2016/10/20 10:12:39 AM EST,Worthington Christian,12,Female,Caucasian,No,Democratic Party,Yes,3,3,3,4,2,2,5,3,3,5,1,2,3,3,5,1,Gary Johnson,Rob Portman,
2016/10/20 10:12:44 AM EST,Worthington Christian,12,Male,Caucasian,No,Republican Party,Yes,5,3,3,5,2,3,5,4,4,4,2,4,4,4,4,4,Donald Trump,Rob Portman,
2016/10/20 10:12:59 AM EST,Worthington Christian,9,Male,African-American,No,Other,I don't know,5,,3,5,3,3,5,3,3,3,3,3,3,3,3,3,No opinion,No opinion,
2016/10/20 10:13:10 AM EST,Walnut Ridge,12,Female,Caucasian,No,No Party Affiliation,No,2,4,2,4,1,1,5,2,1,4,2,4,3,4,1,1,Gary Johnson,Rob Portman,
2016/10/20 10:13:41 AM EST,Worthington Christian,11,Male,Caucasian,No,Republican Party,Yes,5,5,5,5,1,5,5,5,5,5,5,5,1,5,1,3,Donald Trump,No opinion,
2016/10/20 10:14:10 AM EST,Walnut Ridge,9,Male,Caucasian,No,No Party Affiliation,I don't know,5,3,3,2,4,1,5,3,4,5,4,3,1,1,4,2,No opinion,No opinion,I didn't quite understand some terms
2016/10/20 10:14:20 AM EST,Worthington Christian,10,Female,Caucasian,No,Republican Party,Yes,5,3,3,3,1,3,5,3,3,3,2,3,3,3,1,3,none,No opinion,
2016/10/20 10:14:26 AM EST,Columbus Academy,9,Male,Caucasian,No,Republican Party,Yes,5,4,5,4,2,3,5,3,4,5,5,4,3,2,1,1,Not Hillary ,No opinion,Not crooked Hillary
2016/10/20 10:14:32 AM EST,Worthington Christian,9,Female,Caucasian,No,Republican Party,Yes,5,3,3,3,1,3,5,3,3,3,2,3,3,3,1,3,Donald Trump,No opinion,
2016/10/20 10:15:04 AM EST,Worthington Christian,12,Female,Caucasian,No,Republican Party,Yes,5,2,3,4,4,2,5,4,3,4,1,5,2,3,5,1,John kasich,Rob Portman,
2016/10/20 10:15:39 AM EST,Worthington Christian,12,Female,Caucasian,No,Republican Party,Yes,5,3,3,5,4,3,5,2,3,3,3,3,3,4,5,3,No opinion,Rob Portman,
2016/10/20 10:18:06 AM EST,Worthington Christian,10,Female,Caucasian,No,Republican Party,Yes,3,2,3,3,2,3,5,3,3,3,3,4,4,3,2,2,Donald Trump,Rob Portman,
2016/10/20 10:18:13 AM EST,Worthington Christian,11,Female,Caucasian,No,Republican Party,Yes,5,4,3,3,1,3,5,4,4,3,3,3,3,3,2,3,Donald Trump,No opinion,"Not good with politics, but maybe one day"
2016/10/20 10:18:17 AM EST,Worthington Christian,11,Male,Caucasian,No,Republican Party,Yes,3,3,4,4,1,3,4,4,,,3,2,2,4,3,3,No opinion,Rob Portman,Go Ron O'Brien and Pat Tiberi
2016/10/20 10:21:03 AM EST,Worthington Christian,9,Male,Caucasian,No,Democratic Party,I don't know,4,1,3,4,2,2,4,3,3,4,3,4,2,4,,2,No opinion,Rob Portman,
2016/10/20 10:21:52 AM EST,Worthington Christian,10,Male,Caucasian,No,Republican Party,I don't know,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,1,Donald Trump,Rob Portman,"First of all these questions have a clear liberal bias. What do you mean by looser restrictions on buying guns? I believe in background checks, but I oppose mandatory waiting periods and laws like the assault weapons ban. Also, I believe      men and women are already receiving equal pay. I would consider rewriting this survey to get clear, unbiased answers."
2016/10/20 10:31:15 AM EST,Worthington Christian,9,Male,Caucasian,LGBT+,Republican Party,Yes,1,,,1,,,,,,,,,,,,1,No opinion,No opinion,
2016/10/20 1:01:06 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,1,3,1,2,1,3,2,3,1,1,2,2,5,1,Hillary Clinton,No opinion,
2016/10/20 1:12:41 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian;Hispanic,No,Republican Party,Yes,3,4,2,5,2,2,1,4,5,5,3,4,3,2,5,2,Donald Trump,Rob Portman,
2016/10/20 1:47:34 PM EST,Columbus School for Girls,11,Female,Caucasian,No,Republican Party,One does and the other one doesn't,3,2,5,5,2,2,4,3,4,4,3,3,1,3,3,4,Donald Trump,Rob Portman,
2016/10/20 1:52:21 PM EST,Columbus School for Girls,11,Female,,,Democratic Party,Yes,3,4,4,5,4,1,4,3,3,2,3,2,3,3,3,1,Hillary Clinton,No opinion,
2016/10/20 3:55:28 PM EST,Columbus School for Girls,11,Female,African-American,No,Democratic Party,One does and the other one doesn't,4,1,3,4,1,3,3,3,4,4,1,2,4,3,2,4,None,No opinion,"Both canidates, I think, are not qualified to be president. Both of them have presented themselves as untrustworthy, which, I think, is an essential quality a person needs to be president."
2016/10/20 6:37:37 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Republican Party,Yes,2,2,5,5,2,3,2,3,5,2,5,4,1,1,5,3,Donald Trump,,"Lovely poll - however many questions have two focal points and, therefore, one answer doesn't answer the entire question.  Thank you for posting it!"
2016/10/20 8:02:29 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Republican Party,Yes,3,2,2,,,,,,5,4,1,4,4,5,4,1,No opinion,No opinion,
2016/10/21 6:53:07 AM EST,Worthington Christian,Faculty,Male,Caucasian,No,No Party Affiliation,No,3,1,2,4,2,2,5,4,4,5,1,2,2,3,4,2,No opinion,Rob Portman,
2016/10/21 7:55:09 AM EST,Worthington Christian,12,Female,African-American;Caucasian;Indian;Middle Eastern;Native American,Disabled;No,Democratic Party,Yes,1,1,1,1,1,3,1,1,1,3,1,2,4,3,1,1,Hillary Clinton,No opinion,
2016/10/21 7:57:36 AM EST,Worthington Christian,12,Male,Caucasian,No,Republican Party,Yes,5,3,5,5,3,5,5,5,5,5,5,5,5,5,3,5,Donald Trump,Rob Portman,
2016/10/21 7:57:44 AM EST,Worthington Christian,12,Female,Caucasian,No,Republican Party,Yes,1,1,3,5,1,1,3,5,5,5,2,4,3,3,5,2,No opinion,Rob Portman,
2016/10/21 7:57:51 AM EST,Worthington Christian,12,Male,Caucasian,oppressed white male,Republican Party,Yes,5,5,2,2,1,2,5,3,5,4,5,4,5,2,2,1,Donald Trump,Rob Portman,
2016/10/21 8:02:22 AM EST,Worthington Christian,12,Male,Caucasian;Middle Eastern,No,Republican Party,Yes,5,4,4,,3,3,5,2,3,4,1,3,3,3,1,3,Donald Trump,Rob Portman,
2016/10/21 8:35:28 AM EST,Worthington Christian,12,Female,Caucasian,No,Republican Party,Yes,3,4,5,4,3,4,5,4,4,5,3,3,4,3,3,5,Donald Trump,Rob Portman,
2016/10/21 8:42:35 AM EST,Worthington Christian,12,Female,Caucasian,No,Republican Party,Yes,5,3,4,4,2,4,5,4,4,4,4,4,4,4,4,3,Donald Trump,No opinion,
2016/10/21 9:50:12 AM EST,Worthington Christian,12,Female,Caucasian,No,Republican Party,Yes,5,4,4,5,4,5,5,5,5,5,5,4,3,4,4,4,Donald Trump,Rob Portman,
2016/10/21 10:28:42 AM EST,Worthington Christian,Faculty,Male,Caucasian,No,Republican Party,Yes,5,4,5,5,3,5,5,4,5,5,5,5,3,5,5,3,Donald Trump,Rob Portman,"The question regarding equal pay and the draft is flawed, forcing me to give a ""neutral"" response.  They are two different issues that elicit two different responses.  I favor equal pay for equal work, but do not believe that women should be be required to register for the draft or engage in direct combat situations.  "
2016/10/21 10:52:41 AM EST,Worthington Christian,12,Male,Asian,No,Republican Party,Yes,5,5,3,4,1,3,5,4,4,3,4,2,5,3,2,1,No opinion,Rob Portman,
2016/10/21 10:52:50 AM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,No Party Affiliation,One does and the other one doesn't,1,2,2,3,2,2,1,3,2,4,1,3,2,3,1,1,Hillary Clinton,No opinion,
2016/10/21 10:55:10 AM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Republican Party,Yes,3,1,3,5,3,3,3,5,4,3,3,3,3,3,1,1,,Rob Portman,
2016/10/21 10:59:49 AM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Republican Party,Yes,2,2,4,5,2,3,2,3,4,4,4,4,2,4,3,1,None,No opinion,
2016/10/21 11:19:33 AM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,Yes,1,1,2,3,1,2,1,1,3,1,1,3,1,4,3,1,Hillary Clinton,Not voting in Ohio,
2016/10/21 11:24:11 AM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Republican Party,Yes,4,3,5,5,3,3,2,3,5,4,5,3,3,2,1,1,No opinion,Rob Portman,
2016/10/21 11:27:31 AM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,Yes,1,1,1,2,1,1,1,1,2,2,1,3,1,2,1,1,Hillary Clinton,No opinion,
2016/10/21 12:05:56 PM EST,Worthington Christian,12,Male,Caucasian,No,Republican Party,Yes,5,4,5,5,5,4,5,5,5,4,5,4,5,4,5,4,Donald Trump,Rob Portman,
2016/10/21 1:26:25 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,Yes,1,1,3,1,2,1,1,1,1,1,2,2,1,3,2,1,Hillary Clinton,Ted Strickland,
2016/10/21 3:34:26 PM EST,Columbus School for Girls,Alumnae,Other,Caucasian,LGBT+,Other,No,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,Bernie Sanders,Ted Strickland,
2016/10/21 4:24:52 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,Yes,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,Hillary Clinton,Ted Strickland,
2016/10/21 4:53:49 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,No Party Affiliation,No,1,1,4,5,,,2,4,4,,2,2,3,3,3,1,No opinion,No opinion,
2016/10/21 7:14:49 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,Jewish,Democratic Party,Yes,2,1,3,4,1,1,1,3,3,1,2,4,2,2,1,1,Hillary Clinton,Ted Strickland,"Your final question regarding gender equality should've been split into 2 questions. I don't believe rape victims, regardless of gender, should have to sign up for the draft. "
